ATRIBUTOS:   2         
cross-validation

TAMANHO: 5125

A FREQUENCIA INDEPENDETE DA CLASSE
--------------------------------------
0	4813.0
1	748.0

A FREQUENCIA DA PALAVRA DADA UMA CLASSE
-----------------------------------------
          0	          1	
        3.0	        5.0	cancel
<laplace=1>	        6.0	£10000
       26.0	        6.0	half
        5.0	<laplace=1>	spoke
        3.0	<laplace=1>	BBD
<laplace=1>	        3.0	upload
<laplace=1>	        3.0	costing
<laplace=1>	        4.0	Txts
        5.0	<laplace=1>	salary
        4.0	<laplace=1>	Hurt
        3.0	<laplace=1>	rakhesh
        6.0	<laplace=1>	tea
        7.0	<laplace=1>	Sure
        3.0	<laplace=1>	drunk
        3.0	<laplace=1>	–
        3.0	<laplace=1>	Don€˜t
       60.0	<laplace=1>	would
        3.0	<laplace=1>	YEAR
       66.0	<laplace=1>	pick
        4.0	<laplace=1>	legs
<laplace=1>	        3.0	Nokias
       10.0	<laplace=1>	tel
        3.0	<laplace=1>	YEAH
        3.0	<laplace=1>	Sleepwell&Take
       10.0	<laplace=1>	ten
        7.0	       11.0	pics
<laplace=1>	        5.0	Netcollex
        6.0	<laplace=1>	energy
        4.0	<laplace=1>	successfully
      214.0	<laplace=1>	#
        8.0	<laplace=1>	$
        4.0	<laplace=1>	%
<laplace=1>	       57.0	STOP
       80.0	       79.0	&
<laplace=1>	        3.0	3650
        4.0	<laplace=1>	Aah
<laplace=1>	        4.0	K52
       33.0	<laplace=1>	*
       11.0	       14.0	+
        3.0	<laplace=1>	WHERE
      150.0	       53.0	-
        3.0	        3.0	click
       10.0	<laplace=1>	/
<laplace=1>	       15.0	T&C
<laplace=1>	        4.0	0
       54.0	       43.0	1
      264.0	      138.0	2
        5.0	<laplace=1>	SEE
       52.0	       22.0	3
<laplace=1>	        3.0	Game
      176.0	       93.0	4
        3.0	<laplace=1>	size
       29.0	<laplace=1>	left
       46.0	        8.0	5
       35.0	        7.0	6
       34.0	        5.0	7
       24.0	<laplace=1>	8
        3.0	<laplace=1>	professors
       25.0	<laplace=1>	9
        4.0	<laplace=1>	2Police
<laplace=1>	        3.0	0871277810810
       17.0	<laplace=1>	goin
        3.0	        4.0	=
       10.0	        6.0	@
       13.0	<laplace=1>	telling
       77.0	       17.0	A
        9.0	        8.0	B
       19.0	       15.0	C
        7.0	<laplace=1>	role
<laplace=1>	        3.0	Starts
        4.0	        3.0	D
        8.0	        4.0	E
<laplace=1>	        4.0	F
       11.0	        6.0	G
<laplace=1>	        3.0	SEX
<laplace=1>	        7.0	1000
     1122.0	       38.0	I
        6.0	<laplace=1>	J
       84.0	<laplace=1>	K
        4.0	<laplace=1>	turn
        3.0	<laplace=1>	licks
<laplace=1>	       14.0	M
        7.0	<laplace=1>	N
       12.0	<laplace=1>	O
<laplace=1>	        7.0	40GB
        5.0	<laplace=1>	P
        5.0	<laplace=1>	result
        3.0	        5.0	Q
        5.0	<laplace=1>	skype
       27.0	       11.0	R
       21.0	       13.0	S
       37.0	<laplace=1>	same
        3.0	       14.0	T
      212.0	       83.0	U
       19.0	        4.0	V
        9.0	        7.0	X
       20.0	<laplace=1>	Y
       69.0	        5.0	after
        3.0	<laplace=1>	quiet
<laplace=1>	        3.0	ACL03530150PM
<laplace=1>	        5.0	Jordan
        3.0	<laplace=1>	flip
        3.0	        3.0	connect
       13.0	<laplace=1>	hand
        5.0	<laplace=1>	_
        3.0	<laplace=1>	KAVALAN
        3.0	<laplace=1>	resume
        3.0	<laplace=1>	BED
<laplace=1>	        3.0	MK17
      820.0	      284.0	a
<laplace=1>	        4.0	ordered
       47.0	        5.0	b
       45.0	        4.0	c
       18.0	        5.0	address
       11.0	<laplace=1>	thanx
       53.0	<laplace=1>	d
       67.0	        5.0	e
        4.0	<laplace=1>	kerala
        4.0	<laplace=1>	f
       14.0	        5.0	g
        5.0	<laplace=1>	Nobody
        4.0	<laplace=1>	h
      631.0	        6.0	i
<laplace=1>	        4.0	m8s
        3.0	<laplace=1>	j
       59.0	        3.0	k
<laplace=1>	        3.0	Admirer
        8.0	<laplace=1>	eating
       12.0	<laplace=1>	m
        7.0	<laplace=1>	Ahmad
        3.0	<laplace=1>	blood
      109.0	       10.0	n
        3.0	<laplace=1>	SLAP
<laplace=1>	        4.0	Titles
        6.0	<laplace=1>	o
      810.0	      153.0	the
        3.0	<laplace=1>	Red
        4.0	        3.0	straight
<laplace=1>	        3.0	p
        3.0	<laplace=1>	musthu
       91.0	       12.0	r
        5.0	        3.0	sale
<laplace=1>	        3.0	Ref
       25.0	        6.0	s
        4.0	<laplace=1>	Cover
        6.0	<laplace=1>	t
      653.0	       56.0	u
        5.0	<laplace=1>	throw
<laplace=1>	        3.0	readers
       26.0	        3.0	v
       39.0	<laplace=1>	thk
       14.0	<laplace=1>	w
        3.0	        5.0	exciting
       26.0	        5.0	x
        4.0	<laplace=1>	thm
       11.0	<laplace=1>	thank
       25.0	<laplace=1>	y
        5.0	        6.0	information
       13.0	<laplace=1>	tho
        8.0	<laplace=1>	|
        4.0	<laplace=1>	ths
<laplace=1>	        4.0	MobilesDirect
       10.0	<laplace=1>	tht
<laplace=1>	        3.0	3680
        3.0	<laplace=1>	Again
