@relation 'smsSpamCollection'

@attribute Text string
@attribute class-att {0,1}

@data

' Hope you are having a good week. Just checking in',0
' K..give back my thanks.',0
' Am also doing in cbe only. But have to pay.',0
' "complimentary 4 STAR Ibiza Holiday or £10000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+"',1
' okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm',1
' Aiya we discuss later lar... Pick u up at 4 is it?',0
' Are you this much buzy',0
' Please ask mummy to call father',0
' Marvel Mobile Play the official Ultimate Spider-man game (£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper',1
' "fyi Im at usf now swing by the room whenever"',0
' "Sure thing big man. i have hockey elections at 6 shouldn€˜t go on longer than an hour though"',0
' I anything lor...',0
' "By march ending i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. Hows work and the ladies"',0
' "Hmm well night night "',0
' K Ill be sure to get up before noon and see whats what',0
' Ha ha cool cool chikku chikku:-):-DB-)',0
' Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.',0
' He dint tell anything. He is angry on me that why you told to abi.',0
' Up to u... u wan come then come lor... But i din c any stripes skirt...',0
' "U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame1Winaweek age16.150ppermessSubscription"',1
' 2mro i am not coming to gym machan. Goodnight.',0
' ARR birthday today:) i wish him to get more oscar.',0
' Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-)',0
' "I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying do a research on cost also. Contact joke ogunrinde her school is one me the less expensive ones"',0
' "Could you not read me my Love ? I answered you"',0
' So what did the bank say about the money?',0
' Well if Im that desperate Ill just call armand again',0
' "Fuuuuck I need to stop sleepin sup"',0
' So hows the weather over there?',0
' Ok thanx...',0
' Ok.ok ok..then..whats ur todays plan',0
' 1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-)',0
' "Sorry Ill call later"',0
' Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too',0
' U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16',1
' Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.',0
' "Call me when you/carlos is/are here my phones vibrate is acting up and I might not hear texts"',0
' Oh k :)why you got job then whats up?',0
' "SPJanuary Male Sale! Hot Gay chat now cheaper call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"',1
' Yeah you should. I think you can use your gt atm now to register. Not sure but if theres anyway i can help let me know. But when you do be sure you are ready.',0
' Nationwide auto centre (or something like that) on Newport road. I liked them there',0
' He is there. You call and meet him',0
' Yeah sure Ill leave in a min',0
' URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm',1
' "Mah b Ill pick it up tomorrow"',0
' Then she dun believe wat?',0
' Ive sent u my part..',0
' Hey so whats the plan this sat? ',0
' Can you just come in for a sec? Theres somebody here I want you to see',0
' Yup. Izzit still raining heavily cos im in e mrt i cant c outside.',0
' "I think were going to finns now come"',0
' Our Prasanth ettans mother passed away last night. Just pray for her and family.',0
' "Enjoy the showers of possessiveness poured on u by ur loved ones bcoz in this world of lies it is a golden gift to be loved truly.."',0
' Hes really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages all over his arms every five minutes',0
' You please give us connection today itself before  DECIMAL  or refund the bill',0
' Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16',1
' Mum not going robinson already.',0
' Got meh... When?',0
' We are both fine. Thanks',0
' "awesome how do I deal with the gate? Charles told me last night but uh yeah"',0
' "I thought id get him a watch just cos thats the kind of thing u get4an18th. And he loves so much!"',0
' Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with',0
' Hey! do u fancy meetin me at 4 at cha – hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x',0
' "no i *didnt* mean to post it. I wrote it and like so many other times ive ritten stuff to you i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left i hit send then stop. It wasnt there. I checked on my phone when i got to my car. It wasnt there. You said you didnt sleep you were bored. So why wouldnt THAT be the time to clean fold laundry etc.? At least make the bed?"',0
' "If you want to mapquest it or something look up usf dogwood drive thats the tiny street where the parking lot is"',0
' "Ha ha nan yalrigu heltini..Iyo kothi chikku u shared many things wit me..so far i didnt told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok chikku:-);-)B-)"',0
' Becoz its  #  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer',0
' Good. do you think you could send me some pix? I would love to see your top and bottom...',0
' Beautiful Truth against Gravity.. Read carefully: Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.. GOOD NIGHT',0
' "Buzz! Hey my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*"',0
' Lara said she can loan me  # .',0
' Dunno leh cant remember mayb lor. So wat time r we meeting tmr?',0
' So wats ur opinion abt him and how abt is character?',0
' Oh oh... Wasted... Den muz chiong on sat n sun liao...',0
' Are you at work right now ?',0
' Bring home some Wendy =D',0
' Ok going to sleep. Hope i can meet her.',0
' Allo! We have braved the buses and taken on the trains and triumphed. I mean we€˜re in b€˜ham. Have a jolly good rest of week',0
' Hmmm:)how many players selected?',0
' You flippin out yet?',0
' Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8o clock.',0
' URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm',1
' 1000s of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m)',1
' "Nope. Since ayo travelled he has forgotten his guy"',0
' Hey tmr maybe can meet you at yck',0
' Ok im coming home now.',0
' u called dad oredi...',0
' "Alright Ill head out in a few minutes text me where to meet you"',0
' *deep sigh* ... I miss you :-( ... I am really surprised you havent gone to the net cafe yet to get to me ... Dont you miss me?',0
' Will be office around 4 pm. Now i am going hospital.',0
' ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT CARE. BAILIFF DUE IN DAYS. I O £250 3 WANT £800',1
' Yup bathe liao...',0
' I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.',0
' S.this will increase the chance of winning.',0
' How are you doing. Hows the queen. Are you going for the royal wedding',0
' Dear reached railway. What happen to you',0
' Probably gonna swing by in a wee bit',0
' K k pa Had your lunch aha.',0
' Whom you waited for yesterday',0
' "Urgent Urgent! We have 800 FREE flights to Europe to give away call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm"',1
' "For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. Ts&Cs www.txt-2-shop.com custcare 08715705022 1x150p/wk"',1
' Ok give me 5 minutes I think I see her. BTW youre my alibi. You were cutting my hair the whole time.',0
' At home by the way',0
' Have a good evening! Ttyl',0
